month_label,start_date,end_date,primary_category,primary_sub_category,multiplier_info,is_seasonal,seasonal_type,is_mixed,mixed_components,is_all_role,all_role_components,weight,component_weight_rule,extra_tags,note,source_name,source_url,confidence
2022-01,2022-01-06,2022-01-31,non_role,story_missions,A Land of Opportunities mission bonuses; persistent posse rewards,FALSE,,FALSE,,FALSE,,1.0,single,story_missions|posse,"Main monthly focus is A Land of Opportunities, not a specialist role.",Rockstar Newswire,https://www.rockstargames.com/newswire/article/o3a345a87o78a2/start-the-new-year-off-with-bonuses-on-a-land-of-opportunities-mission,high
2022-02,2022-02-01,2022-02-28,both,trader|free_roam|call_to_arms,Trader bonuses; 2X RDO$ on Free Roam Missions and Call to Arms,FALSE,,TRUE,trader|free_roam|call_to_arms,FALSE,,1.0,mixed_manual,trader|free_roam|call_to_arms,"Role + non-role benefits, so primary_category=both.",Rockstar Newswire,https://www.rockstargames.com/newswire/article/9k93k972a998a2/a-spotlight-on-trader-bonuses-in-red-dead-online-this-month,high
2022-03,2022-03-01,2022-04-04,role,bounty_hunter,Bounty Hunter role bonuses; 2X RDO$ and Role XP on Bounty Hunter Free Roam Events,FALSE,,FALSE,,FALSE,,1.0,single,bounty_hunter,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/89o8ok7532oa33/bounty-hunting-season-in-red-dead-online,high
2022-04,2022-04-05,2022-05-02,non_role,telegram|call_to_arms|blood_money,3X RDO$ and XP on Hardcore Telegram Missions; 2X rewards on Call to Arms and Blood Money Opportunities,FALSE,,FALSE,,FALSE,,1.0,split_equal,telegram|call_to_arms|blood_money,Non-role content bundle; split equally for sub-category calculation.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/3931388k25k2a3/bonus-rewards-for-some-of-the-west-s-toughest-jobs,high
2022-05,2022-05-03,2022-06-06,non_role,races,4X RDO$ in Standard Races; horse racing bonuses,FALSE,,FALSE,,FALSE,,1.0,single,races,Pure non-role race month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/ak79o438338823/racing-bonuses-4x-rdo-in-standard-races-and-more,high
2022-06,2022-06-07,2022-07-04,role,moonshiner,Moonshiner bonuses and extra earnings,FALSE,,FALSE,,FALSE,,1.0,single,moonshiner,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/3935414k8a3aoo/moonshiners-earn-extra-for-satisfying-local-thirst,high
2022-07,2022-07-05,2022-08-01,non_role,call_to_arms,Double XP and Gold on Call to Arms,FALSE,,FALSE,,FALSE,,1.0,single,call_to_arms,Pure non-role Call to Arms month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/ak2okk171k2o9o/save-allies-from-peril-in-call-to-arms-and-get-double-xp-and-gold,high
2022-08,2022-08-02,2022-09-05,both,collector|blood_money,Collector set premiums plus Blood Money Opportunity bonuses,FALSE,,TRUE,collector|blood_money,FALSE,,1.0,mixed_manual,collector|blood_money,Role + non-role benefits.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/25kok8543a3244/get-premiums-for-collector-sets-in-red-dead-online,high
2022-09,2022-09-06,2022-10-03,role,trader,Trader bonuses all month,FALSE,,FALSE,,FALSE,,1.0,single,trader,Pure role month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/k423375o8718o5/get-trader-bonuses-in-red-dead-online-all-month-long,high
2022-10,2022-10-04,2022-10-31,both,call_to_arms|collector,Halloween Call to Arms bonuses plus Collector/Halloween rewards,TRUE,halloween,TRUE,call_to_arms|collector,FALSE,,1.0,mixed_manual,halloween|call_to_arms|collector,Seasonal + role component.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/9k7727a9432oa2/halloween-looms-over-the-frontier-in-red-dead-online,high
2022-11,2022-11-01,2022-11-28,role,naturalist,Naturalist bonuses with Thanksgiving rewards,TRUE,thanksgiving,FALSE,,FALSE,,1.0,single,naturalist|thanksgiving,Seasonal rewards present but main monthly focus is Naturalist.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/9k757832512k59/get-naturalist-bonuses-and-celebrate-thanksgiving-all-month-long-in-re,high
2022-12,2022-11-29,2023-01-02,both,bounty_hunter|holiday_rewards,Bounty Hunter bonuses plus holiday gifts and items,TRUE,holiday,TRUE,bounty_hunter|holiday_rewards,FALSE,,1.0,mixed_manual,bounty_hunter|holiday,Seasonal holiday layer plus Bounty Hunter role.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/4k5kko5212o19a/bounty-hunter-bonuses-plus-holiday-cheer-coming-to-red-dead-online,high
2023-01,2023-01-03,2023-01-30,role,trader|moonshiner,2X RDO$ and XP on Trader and Moonshiner sales,FALSE,,FALSE,,FALSE,,1.0,split_equal,trader|moonshiner,Two roles in same benefit; tool should split role component weight equally.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/3972oa4k19a53k/celebrate-the-new-year-with-double-rewards-on-trader-and-moonshine-sal,high
2023-02,2023-01-31,2023-02-27,non_role,telegram|call_to_arms,3X rewards on Hardcore Telegram Missions; 2X Gold and XP on Call to Arms,TRUE,valentines,FALSE,,FALSE,,1.0,split_equal,telegram|call_to_arms|valentines,Valentine rewards are seasonal but main gameplay category is non-role.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/397a984a2o4a2o/get-triple-rewards-on-hardcore-telegram-missions,high
2023-03,2023-02-28,2023-04-03,non_role,blood_money,"2X RDO$, Gold, and XP on Blood Money Opportunities; 2X RDO$ on Contracts",FALSE,,FALSE,,FALSE,,1.0,single,blood_money,Pure non-role Blood Money month.,Rockstar Newswire,https://www.rockstargames.com/newswire/article/512528ak98a492/double-rewards-on-all-blood-money-opportunities-in-red-dead-online,high
